Gia_tri,So_luong
"['direct sales', 'online sales', 'telesales', 'b2b', 'b2c', 'b2g', 'it - phần mềm', 'thương mại điện tử', 'marketing / quảng cáo', 'có hỗ trợ data', 'làm tại nhà', 'phát âm chuẩn', 'diễn đạt trôi chảy', 'từ 18 tuổi trở lên']",1
['tuổi 22 - 32'],1
"['sản xuất ', 'cơ khí / tự động hóa', 'thiết kế / kiến trúc', 'tuổi 25 - 50']",1
"['giáo dục / đào tạo', 'tuổi 22 - 26']",1
"['thương mại điện tử', 'thiết kế / kiến trúc', 'in ấn / xuất bản']",1
"['it - phần mềm', 'công nghệ kỹ thuật', 'it - phần cứng và máy tính', 'tiếng anh toeic 800']",1
"['direct sales', 'online sales', 'b2b', 'có hỗ trợ data', 'tuổi 20 - 35']",1
['sản xuất '],1
"['it - phần mềm', 'tài chính', 'công nghệ kỹ thuật']",1
"['direct sales', 'b2b', 'b2c', 'b2g', 'it - phần cứng và máy tính', 'viễn thông', 'tiếng anh giao tiếp cơ bản', 'tuổi 20 - 25']",1
"['marketing / quảng cáo', 'chăm sóc sức khỏe / làm đẹp', 'thiết kế / kiến trúc']",1
"['online sales', 'telesales', 'b2b', 'b2c', 'marketing / quảng cáo', 'thương mại điện tử', 'có hỗ trợ data', 'diễn đạt trôi chảy', 'từ 21 tuổi trở lên']",1
"['it - phần mềm', 'marketing / quảng cáo', 'điện toán đám mây (cloud)']",1
"['may mặc / thời trang', 'in ấn / xuất bản', 'marketing / quảng cáo', 'tuổi 25 - 35']",1
"['bán lẻ - hàng tiêu dùng - fmcg', 'may mặc / thời trang', 'thương mại điện tử']",1
"['it - phần cứng và máy tính', 'it - phần mềm', 'giáo dục / đào tạo']",1
"['tài chính', 'chứng khoán']",1
"['thương mại điện tử', 'may mặc / thời trang', 'tiếng anh đọc hiểu', 'tuổi 18 - 25']",1
"['it - phần cứng và máy tính', 'it - phần mềm', 'thương mại điện tử', 'tiếng anh giao tiếp cơ bản']",1
"['it - phần cứng và máy tính', 'tuổi 23 - 30']",1
"['marketing / quảng cáo', 'tiếng anh giao tiếp thành thạo']",1
"['marketing / quảng cáo', 'mỹ thuật / nghệ thuật / điện ảnh', 'tiếng anh giao tiếp cơ bản', 'từ 20 tuổi trở lên']",1
"['thiết kế / kiến trúc', 'chăm sóc sức khỏe / làm đẹp', 'marketing / quảng cáo', 'tuổi 25 - 38']",1
"['it - phần cứng và máy tính', 'điện toán đám mây (cloud)', 'tiếng anh đọc hiểu']",1
"['online sales', 'b2b', 'it - phần mềm', 'thương mại điện tử']",1
"['an ninh mạng', 'it - phần mềm', 'thương mại điện tử']",1
"['telesales', 'direct sales', 'online sales', 'b2b', 'b2c', 'it - phần mềm', 'marketing / quảng cáo', 'thương mại điện tử', 'có hỗ trợ data', 'diễn đạt trôi chảy']",1
"['it - phần mềm', 'bảo hiểm', 'ngân hàng']",1
"['thiết kế / kiến trúc', 'tuổi 18 - 25']",1
"['online sales', 'b2c']",1
"['it - phần mềm', 'tuổi 26 - 35']",1
"['marketing / quảng cáo', 'từ 23 tuổi trở lên']",1
"['an ninh mạng', 'it - phần cứng và máy tính', 'it - phần mềm', 'tuổi 28 - 35']",1
"['thiết kế / kiến trúc', 'mỹ thuật / nghệ thuật / điện ảnh']",1
['tuổi 18 - 40'],1
"['an ninh mạng', 'it - phần cứng và máy tính', 'it - phần mềm', 'tuổi 25 - 50']",1
['viễn thông'],1
"['it - phần mềm', 'game', 'điện toán đám mây (cloud)']",1
"['it - phần mềm', 'tuổi 21 - 30']",1
"['b2b', 'it - phần mềm', 'điện toán đám mây (cloud)', 'an ninh mạng']",1
"['it - phần cứng và máy tính', 'tuổi 25 - 35']",1
"['direct sales', 'telesales', 'b2b', 'b2c', 'marketing / quảng cáo', 'có hỗ trợ data', 'phát âm chuẩn', 'tuổi 18 - 25']",1
"['bất động sản', 'marketing / quảng cáo', 'tuổi 23 - 35']",1
"['mỹ thuật / nghệ thuật / điện ảnh', 'thiết kế / kiến trúc', 'marketing / quảng cáo', 'tuổi 25 - 35']",1
"['chăm sóc sức khỏe / làm đẹp', 'bất động sản', 'từ 35 tuổi trở xuống']",1
"['direct sales', 'telesales', 'b2b', 'b2c', 'b2g', 'it - phần cứng và máy tính', 'it - phần mềm', 'điện toán đám mây (cloud)', 'phát âm chuẩn', 'diễn đạt trôi chảy']",1
"['sản xuất ', 'tuổi 20 - 40']",1
"['quan hệ công chúng', 'thiết kế / kiến trúc', 'marketing / quảng cáo']",1
"['direct sales', 'b2b', 'it - phần mềm', 'tuổi 25 - 30']",1
"['telesales', 'b2b', 'có hỗ trợ data', 'diễn đạt trôi chảy', 'phát âm chuẩn', 'giọng miền bắc']",1
"['viễn thông', 'tài chính', 'thương mại điện tử', 'tiếng anh giao tiếp thành thạo', 'tuổi 25 - 35']",1
"['telesales', 'b2b', 'it - phần mềm', 'có hỗ trợ data', 'diễn đạt trôi chảy', 'tuổi 20 - 27']",1
"['thiết kế / kiến trúc', 'thương mại điện tử', 'tuổi 20 - 35']",1
"['bán lẻ - hàng tiêu dùng - fmcg', 'thương mại điện tử']",1
"['it - phần mềm', 'tuổi 35 - 50']",1
"['telesales', 'b2b', 'b2c', 'có hỗ trợ data', 'phát âm chuẩn', 'diễn đạt trôi chảy', 'tuổi 22 - 26']",1
"['telesales', 'b2c', 'it - phần mềm', 'marketing / quảng cáo', 'quan hệ công chúng', 'có hỗ trợ data', 'diễn đạt trôi chảy', 'phát âm chuẩn', 'tuổi 20 - 30']",1
"['mỹ thuật / nghệ thuật / điện ảnh', 'thiết kế / kiến trúc', 'it - phần mềm']",1
"['it - phần mềm', 'nhà hàng / khách sạn', 'it - phần cứng và máy tính', 'tuổi 24 - 30']",1
"['công nghệ kỹ thuật', 'it - phần mềm']",1
"['online sales', 'b2b', 'có hỗ trợ data']",1
"['thương mại điện tử', 'it - phần mềm', 'tiếng anh đọc hiểu']",1
"['telesales', 'b2b', 'b2c', 'it - phần mềm']",1
"['b2b', 'tuổi 23 - 30']",1
"['it - phần mềm', 'tài chính', 'tiếng anh toeic 550']",1
"['online sales', 'bán hàng tại cửa hàng/showroom', 'direct sales', 'b2b', 'it - phần mềm', 'có hỗ trợ data', 'tuổi 20 - 27']",1
"['direct sales', 'telesales', 'b2b', 'b2c', 'it - phần mềm', 'thương mại điện tử', 'có hỗ trợ data']",1
"['marketing / quảng cáo', 'thiết kế / kiến trúc', 'y tế / dược phẩm']",1
"['online sales', 'direct sales', 'b2b', 'it - phần mềm', 'tiếng nhật jlpt n2']",1
['y tế / dược phẩm'],1
"['báo chí', 'marketing / quảng cáo', 'mỹ thuật / nghệ thuật / điện ảnh']",1
"['direct sales', 'b2b', 'an ninh mạng', 'it - phần cứng và máy tính']",1
"['telesales', 'b2b', 'có hỗ trợ data', 'diễn đạt trôi chảy']",1
"['telesales', 'direct sales', 'online sales', 'b2b', 'công nghệ kỹ thuật', 'marketing / quảng cáo', 'diễn đạt trôi chảy']",1
"['it - phần mềm', 'viễn thông', 'công nghệ kỹ thuật']",1
"['b2b', 'it - phần mềm', 'tiếng nhật giao tiếp thành thạo', 'tiếng nhật jlpt n2']",1
"['direct sales', 'b2b', 'b2c', 'b2g', 'an ninh mạng', 'it - phần cứng và máy tính', 'it - phần mềm', 'tuổi 30 - 50']",1
"['online sales', 'b2c', 'b2b', 'it - phần mềm', 'có hỗ trợ data']",1
"['mỹ thuật / nghệ thuật / điện ảnh', 'thiết kế / kiến trúc', 'tiếng anh giao tiếp cơ bản']",1
"['thiết kế / kiến trúc', 'sản xuất ', 'tiếng anh giao tiếp thành thạo', 'tuổi 22 - 26']",1
['điện toán đám mây (cloud)'],1
